External ID,Summary,Issue Type,Status,Priority,Labels,Phase,Story Points,Depends On,Description,Acceptance Criteria,Output
P0-01,Publish payload contract baseline,Task,Backlog,Medium,"db-architecture,uat,prefill,phase-0",0,3,none,"Document request/response contracts for service calls, quotations, invoices, receipts, and payment updates.","Versioned contract docs committed; Required/optional fields marked; Breaking-change rules defined.",contracts/phase0-contract-baseline.md
P0-02,Snapshot vs reference inventory,Task,Backlog,Medium,"db-architecture,uat,prefill,phase-0",0,2,P0-01,"Classify each field as snapshot (embedded copy) or reference (foreign key only).","Matrix created for quote and invoice fields; Customer-facing document fields marked as snapshot-first.",contracts/snapshot-reference-matrix.md
P0-03,Status/index audit and anti-pattern cleanup,Task,Backlog,Medium,"db-architecture,uat,prefill,phase-0",0,2,none,"Confirm no status-split collections; status handled via indexed fields.","Existing collections mapped; Index recommendations listed for quotations/invoices.",contracts/status-index-audit.md
P0-04,Migration readiness checkpoint,Task,Backlog,Medium,"db-architecture,uat,prefill,phase-0",0,1,"P0-01|P0-02|P0-03","Team review and sign-off before repository abstraction starts.","Decision log added; Risks and rollback assumptions captured.",continuity/checkpoints/phase0-signoff.md
P1-01,Create database routing config,Task,Backlog,Medium,"db-architecture,uat,prefill,phase-1",1,3,P0-04,"Introduce central db routing config for logical domain to physical database mapping.","Mapping supports current single-db mode and future multi-db mode; Config is environment-driven.",server/config/db-routing.js
P1-02,Implement repository interfaces,Task,Backlog,Medium,"db-architecture,uat,prefill,phase-1",1,5,P1-01,"Define repository contracts for users, service calls, quotations, invoices, suppliers, machines.","Interfaces include CRUD + query-by-index use cases; No controller directly imports mongoose models for covered entities.",server/repositories/interfaces/*
P1-03,Add repository adapters (current db only),Task,Backlog,Medium,"db-architecture,uat,prefill,phase-1",1,5,P1-02,"Build adapters that preserve exact behavior while still using current physical storage.","Existing tests pass with adapters enabled; No response shape change.",server/repositories/adapters/current/*
P1-04,Refactor controllers to repository usage,Task,Backlog,Medium,"db-architecture,uat,prefill,phase-1",1,8,P1-03,"Move controller data access behind repository layer.","Invoice, quotation, and service-call controllers use repositories only; Regression tests pass.",controller refactor PR
P1-05,Add compatibility test suite,Task,Backlog,Medium,"db-architecture,uat,prefill,phase-1",1,3,P1-04,"Add tests to confirm behavior is unchanged after abstraction.","Golden tests cover core workflows; Snapshot tests for response payloads pass.",server/tests/compat/repository-compat.test.*
P2-01,Provision Usersdb and connection wiring,Task,Backlog,Medium,"db-architecture,uat,prefill,phase-2",2,2,P1-05,"Add Usersdb connection and health probe integration.","Usersdb reachable in all environments; Health endpoint reports Usersdb status.",server/config/database-connections/*
P2-02,Migrate identity collections,Task,Backlog,Medium,"db-architecture,uat,prefill,phase-2",2,5,P2-01,"Move users and onboarding/passkey/audit collections into Usersdb.","One-time migration script with idempotency; Row/document counts match before/after.",scripts/migrations/phase2-usersdb-migration.*
P2-03,Compatibility reads and dual-read fallback,Task,Backlog,Medium,"db-architecture,uat,prefill,phase-2",2,3,P2-02,"Temporary fallback read from old location during cutover window.","Fallback path covered by tests; Metrics emitted when fallback is used.",server/repositories/adapters/identity/*
P2-04,Auth flow verification matrix,Task,Backlog,Medium,"db-architecture,uat,prefill,phase-2",2,3,P2-03,"Validate login, token refresh, passkey renewal, and profile updates.","Test matrix executed for admin, field agent, customer roles; No auth regressions.",testing/phase2-auth-verification.md
P2-05,Remove fallback reads,Task,Backlog,Medium,"db-architecture,uat,prefill,phase-2",2,2,P2-04,"Decommission temporary fallback once stable.","Fallback code removed; Monitoring confirms no legacy reads.",cleanup PR
P3-01,Provision Financialdb and indexes,Task,Backlog,Medium,"db-architecture,uat,prefill,phase-3",3,2,P2-05,"Create Financialdb and required indexes for quotations/invoices.","Indexes created: customerId+status+createdAt, serviceCallId, invoiceNumber unique; Index build monitored.",scripts/db/phase3-financial-indexes.*
P3-02,Migrate quotations and invoices,Task,Backlog,Medium,"db-architecture,uat,prefill,phase-3",3,5,P3-01,"Migrate quotation/invoice/receipt collections with ID preservation.","IDs and cross-references preserved; Integrity report produced.",scripts/migrations/phase3-financial-migration.*
P3-03,Enforce snapshot fields on customer docs,Task,Backlog,Medium,"db-architecture,uat,prefill,phase-3",3,3,P3-02,"Ensure customer-facing docs do not require cross-db joins for rendering.","Snapshot field list enforced at creation time; PDF generation works if source references are unavailable.","server/controllers/*, model validations"
P3-04,Validate visibility gates for costing,Task,Backlog,Medium,"db-architecture,uat,prefill,phase-3",3,2,P3-03,"Confirm customer/public views exclude internal costing details.","Role/view-based tests pass; Shared/public PDF excludes internal breakdown.",server/tests/unit/controllers/invoice.controller.test.*
P3-05,Financial workflow UAT script update,Task,Backlog,Medium,"db-architecture,uat,prefill,phase-3",3,2,P3-04,"Extend UAT flow script to assert quote->invoice->payment lifecycle in Financialdb.","UAT script captures DB origin and lifecycle states; Script passes in CI/UAT.",scripts/uat_flow_run.sh update
P3-06,Cutover and rollback runbook,Task,Backlog,Medium,"db-architecture,uat,prefill,phase-3",3,2,P3-05,"Write operational runbook for cutover and recovery.","Step-by-step cutover with verification commands; Rollback tested in staging.",continuity/FINANCIALDB_CUTOVER_RUNBOOK.md
P4-01,Create benchmark_observations schema,Task,Backlog,Medium,"db-architecture,uat,prefill,phase-4",4,3,P3-06,"Define event schema for pricing/duration outcomes across UAT and production.","Required fields from blueprint included; Validation and indexes added.",server/models/BenchmarkObservation.model.js
P4-02,Capture events on key milestones,Task,Backlog,Medium,"db-architecture,uat,prefill,phase-4",4,5,P4-01,"Write observation events on quote submit, invoice finalize, and payment completion.","Events emitted exactly once per milestone; Idempotency guard implemented.",controller hooks + service layer
P4-03,Build benchmark_aggregates updater job,Task,Backlog,Medium,"db-architecture,uat,prefill,phase-4",4,5,P4-02,"Scheduled job computes p50/p75/p90 and success rates by segment keys.","Aggregate math validated with fixture dataset; Updater is restart-safe.",server/jobs/benchmarkAggregateJob.*
P4-04,Confidence scoring rules engine,Task,Backlog,Medium,"db-architecture,uat,prefill,phase-4",4,3,P4-03,"Apply confidence levels based on sample size and recency.","High/Medium/Low thresholds configurable; Confidence exposed in aggregate records.",server/services/prefillConfidenceService.*
P4-05,Data quality and anomaly checks,Task,Backlog,Medium,"db-architecture,uat,prefill,phase-4",4,2,P4-02,"Flag outliers and incomplete observations.","Invalid records quarantined or ignored with logs; Data quality report generated.",scripts/data-quality/benchmark-quality-check.*
P4-06,UAT capture dashboard export,Task,Backlog,Medium,"db-architecture,uat,prefill,phase-4",4,2,P4-03,"Add reporting output for UAT evidence collection.","Export includes customerType/serviceType/machineType coverage; Acceptance and payment rates visible.",reports/uat-benchmark-coverage.*
P5-01,Prefill query service with fallback ranking,Task,Backlog,Medium,"db-architecture,uat,prefill,phase-5",5,5,P4-06,"Implement ranked resolver order for exact match to template fallback.","Resolver follows 5-level ranking from blueprint; Best match and alternatives returned.",server/services/prefillResolverService.*
P5-02,Prefill API endpoint,Task,Backlog,Medium,"db-architecture,uat,prefill,phase-5",5,3,P5-01,"Add endpoint for quote form prefill suggestions.","Endpoint accepts customer/service/machine context; Response includes source label and confidence.","server/routes/prefill.routes.*, controller"
P5-03,Quote form integration,Task,Backlog,Medium,"db-architecture,uat,prefill,phase-5",5,5,P5-02,"Integrate prefill values into quote UI with clear user controls.","Prefilled fields visibly tagged by source; Users can override where permitted.",client/src/components/CreateQuoteModal.jsx
P5-04,Role-based override policy,Task,Backlog,Medium,"db-architecture,uat,prefill,phase-5",5,2,P5-03,"Enforce who can accept/override low-confidence suggestions.","Policy enforced backend-side; Forbidden overrides return clear errors.",server/middleware/prefillPolicy.*
P5-05,Prefill performance guardrails,Task,Backlog,Medium,"db-architecture,uat,prefill,phase-5",5,2,P5-01,"Add latency budgets and query instrumentation.","p95 latency target defined and monitored; Slow query logs enabled.",telemetry updates
P5-06,Prefill A/B validation in UAT,Task,Backlog,Medium,"db-architecture,uat,prefill,phase-5",5,3,"P5-03|P5-05","Compare manual-only vs prefill-assisted quoting outcomes.","Time-to-quote and variance improvements measured; Recommendation for full rollout documented.",reports/prefill-uat-ab-summary.md
P6-01,Provision Machinesdb/Suppliersdb adapters,Task,Backlog,Medium,"db-architecture,uat,prefill,phase-6",6,3,P5-06,"Wire repository adapters for machine and supplier domains.","Read/write paths validated for both domains; Health checks include both databases.","server/repositories/adapters/machines/*, suppliers/*"
P6-02,Migrate machine history and taxonomy,Task,Backlog,Medium,"db-architecture,uat,prefill,phase-6",6,5,P6-01,"Move machine and service history data to Machinesdb.","Document counts and key references reconciled; Service history queries pass regression tests.",scripts/migrations/phase6-machinesdb-migration.*
P6-03,Migrate supplier catalogs and rate cards,Task,Backlog,Medium,"db-architecture,uat,prefill,phase-6",6,5,P6-01,"Move supplier master/catalog/rate data to Suppliersdb.","Supplier lookup queries stable; Pricing source-of-truth documented.",scripts/migrations/phase6-suppliersdb-migration.*
P6-04,Extend prefill resolver with machine/supplier priors,Task,Backlog,Medium,"db-architecture,uat,prefill,phase-6",6,3,"P6-02|P6-03","Improve prefill with machine reliability and supplier cost priors.","Resolver includes supplier availability and machine history hints; Confidence score adjusts with new signals.",prefill resolver enhancement PR
P6-05,Cross-domain contract tests,Task,Backlog,Medium,"db-architecture,uat,prefill,phase-6",6,2,P6-04,"Ensure no hot-path cross-db joins are introduced.","Contract tests verify ID-only references; Performance budget still met.",server/tests/contract/cross-domain-boundaries.test.*
P7-01,Observation retention and archive policy,Task,Backlog,Medium,"db-architecture,uat,prefill,phase-7",7,3,P6-05,"Define retention and archive strategy for raw observations.","Archive window configured; Restore/test procedure documented.",policies/benchmark-retention-policy.md
P7-02,Query optimization and index tune-up,Task,Backlog,Medium,"db-architecture,uat,prefill,phase-7",7,3,P7-01,"Tune indexes based on live query plans and usage metrics.","Slow queries reduced below target; Explain plans captured for critical queries.",performance/phase7-index-optimization.md
P7-03,SLO + alerting for prefill and financial workflows,Task,Backlog,Medium,"db-architecture,uat,prefill,phase-7",7,2,P7-02,"Add SLOs and production alerts for latency/errors.","Alerts wired to responsible team; Error budget tracked.",ops/slo-prefill-financial.md
P7-04,Security and visibility regression pack,Task,Backlog,Medium,"db-architecture,uat,prefill,phase-7",7,2,P7-03,"Re-verify customer/public visibility restrictions for internal costing.","Security tests pass for all customer-facing documents; No sensitive field leaks in PDFs/API responses.",security/phase7-visibility-regression.md
P7-05,Final rollout and legacy cleanup,Task,Backlog,Medium,"db-architecture,uat,prefill,phase-7",7,3,P7-04,"Remove legacy flags, adapters, and deprecated read paths.","Legacy code removed with changelog; Final architecture diagram updated.",cleanup PR + architecture refresh
OPS-01,Migration rollback drills,Task,Backlog,Medium,"db-architecture,uat,prefill,operations",Operations,2,"P2-05|P3-06|P6-05","Run rollback drills at the end of Phases 2, 3, and 6.","Drill run logs stored; Recovery time recorded.",operations drill logs
OPS-02,UAT dataset curation,Task,Backlog,Medium,"db-architecture,uat,prefill,operations",Operations,2,"P4-01|P5-01|P6-01","Curate UAT dataset continuously during Phases 4-6.","Coverage across customerType x serviceType x machineType matrix; Data quality above agreed threshold.",uat dataset curation pack
OPS-03,Documentation updates,Task,Backlog,Medium,"db-architecture,uat,prefill,operations",Operations,1,"P0-04|P1-05|P2-05|P3-06|P4-06|P5-06|P6-05|P7-05","Update documentation at every phase close.","AI_ASSISTANT_GUIDE.md recent changes updated; README/PROJECT-STRUCTURE updates applied where relevant.",phase close documentation updates
